Number of bedrooms,Number of bathrooms,Area,number of floors,Built Year,Price
2,1.75,9519,1,1948,400000
2,1,5510,1,1955,400000
3,2.5,4000,2,1954,398750
5,2.5,12750,1,1968,384900
4,1.75,9389,1,1960,379950
3,3,10800,3,2008,366750
5,1,9022,1.5,1962,340000
2,1.5,1438,2,2001,340000
2,1,5250,1.5,1949,329950
4,2.5,6500,2,1998,328000
4,2.75,5000,2,2006,309950
3,2.5,7838,2,1994,309950
3,2,10072,1,1986,300000
3,1,6000,1,1953,287000
3,2,15040,1,1958,249950
3,1.75,9306,1,1984,245000
2,1,8063,1,1958,232000
4,1.5,9600,1,1971,220000
4,1.5,5427,1,1969,219900
3,1,306848,1,1953,210000
5,2,10200,1,1956,210000
2,1,7158,1,1944,206000
3,1.75,10125,1,1962,184000
5,4,15175,2,1969,1870000
5,5,10279,2,2013,1800000
4,3.25,10920,1.5,1950,1580000
4,2.25,6906,2,1928,1230000
4,2.75,8103,1,1970,1140000
3,2.5,1970,2,2008,1050000
3,2.5,4047,3,2014,979000
3,3.5,4082,2,1954,910000
4,2,32417,2,2000,860000
4,2.5,6425,2,2008,776000
4,2.5,14550,2,1987,762300
4,2.5,12047,2,1988,736000
4,2.5,12369,2,1998,725126
4,2.5,7864,2,1999,685000
2,1,36478,1,1951,675000
4,3.5,8330,2,2000,655500
3,1.5,7475,1,1940,650000
5,3.5,36615,2,1983,650000
4,2,5000,1,1949,612500
4,3,10117,1,1967,610000
4,2.5,37981,2,1985,609000
4,2.5,13850,2,1987,606000
4,2.25,29930,2,1977,599000
4,3.25,8327,2,2013,580000
3,1.75,6500,1,1954,575000
4,3,15480,2,1996,563000
5,2.25,8111,2,1984,562000
3,2,5500,2,1916,561000
3,2.5,10109,2,1991,535000
5,2.75,3780,1.5,1926,533000
5,2.5,5133,1,1964,530000
3,2.5,11985,1,1995,525000
3,2.5,54885,2,1980,520000
3,1.5,8000,1,1956,518000
3,2.5,7167,2,1989,515000
4,2.5,5684,2,1996,513000
3,2.5,1171,3,2006,500000
2,1.75,2400,1,1903,499000
5,2,5000,1.5,1938,488000
3,2,4080,1.5,1905,485000
2,1.75,6000,1,1942,484000
4,2.5,45732,2,1995,483500
6,3,117612,1.5,1924,475000
2,1,4400,1,1924,469000
3,2.25,11088,1,1967,465000
2,2.25,929,2,2004,460000
5,2.5,7770,1,1978,455000
2,2,3000,1.5,1912,450000
4,2,7983,1,1967,425000
4,2.25,23400,1,1958,407000
4,1.75,10720,1,1958,404000
4,2,7680,1,1971,397000
3,1.75,6500,1,1966,390000
5,3.75,5000,1,2006,390000
3,1,9568,1,1962,387000
3,1.75,5520,1,1982,385000
4,1.75,11600,1,1955,379900
3,2,1320,3,2006,369950
3,1.5,9647,1,1961,367500
3,1.5,8160,1,1950,365000
3,2.25,14374,1,1963,362000
4,2,18768,1,1965,360000
3,1,7740,1,1947,353000
4,2.5,3826,2,2007,345000
3,1,6250,1,1956,345000
2,1,6687,1,1942,329350
4,2.5,12040,1,1980,325000
3,1,6083,1,1940,313950
4,2,7054,1,1950,312000
3,2.25,8000,1,1974,295000
4,2.5,5390,2,2003,284000
3,1.75,11800,1,1971,280000
3,1.75,8151,1,1962,279900
3,2.5,13816,2,1998,272000
3,1,6874,1,1954,250000
3,1.75,8366,1,1975,234000
2,1,5160,1,1952,219000
3,1.75,7684,1,1979,218000
3,1.75,7735,1,1976,197000
3,1.5,8850,1,1959,191000
3,1,7034,1,1954,175000
3,1.5,8580,1,1962,136500
2,1,16344,1,1942,78000
7,4.5,8856,2.5,1910,3200000
5,4.5,8076,2,2007,1530000
6,2.5,6480,2.5,1914,1500000
3,3,5500,2,1937,1340000
4,4,103382,2,2001,1150000
4,1.5,13300,1,1950,1110000
4,3.5,8391,2,2006,1040000
4,2.25,5940,1,1963,940000
5,3.75,226076,2,1985,900000
4,2,8556,1,1954,794154
3,2,7200,1.5,1905,775000
4,2.75,9549,1,1956,758000
3,2.75,23790,1,1946,750000
4,2.75,6050,2,1949,749950
4,2.5,4316,1.5,1905,705000
3,2,6428,1,1942,690000
3,1.75,10500,1,1959,675000
4,4,18804,2,1990,675000
3,2.5,108366,2,1991,651000
3,3,5175,2,2002,640000
3,2.5,327135,2,1995,630000
2,2.25,5663,1,2011,630000
3,2.5,6500,2,1988,618080
3,3,1570,3,2014,610950
3,2.5,108900,1,1977,600000
9,4.5,6988,2.5,1938,599999
3,1.75,4788,1,1920,599000
4,2,13695,1,1961,581000
4,2,5000,1,1955,575000
3,2,5080,1.5,1929,568000
3,3,60392,2,1994,560000
3,2,13374,1,1985,560000
7,5.75,7647,2,1948,540000
3,1.75,149410,1.5,1988,535000
3,2.5,2289,2,2006,535000
3,1,4284,1,1910,530000
2,2,2400,1.5,1900,526000
3,2.25,1249,3,2014,519950
3,1.75,9147,1,1967,515000
4,2.5,5203,2,2003,510000
3,2.75,6760,1,1980,503000
2,1,3885,1.5,1906,500000
3,2.5,37565,1,1987,500000
3,1,6000,1,1943,495000
4,2.75,21195,2,2014,495000
4,2.5,16164,1.5,1922,492000
3,2,4160,1,1917,485000
4,2.5,11200,1,1968,480500
2,1,2723,1,1921,475000
3,2,9055,2,1985,460000
3,1.75,6180,1,1947,440000
2,2,3900,1,2003,428000
2,2.5,1027,3,2008,425000
2,1.5,3500,1.5,1904,420000
3,2.25,8165,2,1977,420000
3,2.25,1452,3,2009,417250
4,3,9548,2,1991,415000
4,2.75,13000,1,1968,409500
3,2.25,8307,1,1961,405000
5,1.75,6000,1,1958,380000
2,1,17335,1,1978,379500
3,2.5,13042,2,1990,375000
5,2.75,5003,1,2008,365000
2,1,6400,1,1944,361280
5,2.5,8560,1,1978,352000
3,1,9360,1,1981,350000
3,2.25,12295,2,1985,339950
2,1,681,3,2006,339950
3,2,7200,1,1952,335000
3,1,16986,1,1968,314950
3,1.75,12381,1,1957,314500
3,1.75,1716,1,1967,313000
3,1.75,10723,1,1974,310000
3,1.75,37904,1,1973,310000
3,2.5,3573,2,2013,305450
2,1,3001,1,1913,300000
3,2.5,4271,2,2000,280000
3,2.5,7000,2,1993,275000
5,1.5,7112,1,1920,265000
5,2.25,8632,1,1962,255000
3,1.75,10122,1,1994,253000
1,1,4373,1,1947,250000
3,1,8423,1,1952,249000
4,1.75,10018,1,1960,248500
3,1,7410,1,1944,246000
3,1.5,1270,2,2005,245000
3,2,7566,1,1985,239900
3,2.5,9180,2,1988,230000
3,1.75,10762,1,1988,226500
3,1.5,11130,1,1960,209950
4,1,6600,1,1969,185000
2,1,13100,1,1912,160000
2,1,22000,1,1956,100000
6,3,5760,2.5,1906,1750000
3,1.75,12757,1,1952,1500000
5,3.25,3200,1.5,1932,1310000
4,3.25,24166,2,1990,1250000
4,3,33976,1,1964,1050000
4,1,5000,2,1910,1040000
3,2.75,16807,2,2007,988500
5,2.5,11470,1,1971,980000
3,3.25,4080,2,1912,930000
3,2.5,3942,3,2008,868500
4,2,6960,1.5,1941,835000
5,3,9601,1,1968,830000
3,2.75,1842,2,2011,785000
4,1.75,9195,1,1950,780000
4,2.5,5500,2,2003,753888
3,2.5,4500,1.5,1928,719000
4,2.5,6465,2,2002,716500
3,1,4620,1.5,1900,712000
3,1.75,5750,1.5,1918,660000
4,1.75,26036,1,1947,647500
2,1.75,3600,1.5,1925,636000
2,1,6872,1,1946,615000
3,2.5,3354,2,1991,595000
2,3,66646,2,1993,589900
4,2.25,41688,2,1980,569000
2,2,4950,1,2006,559950
2,2.5,1349,2,1997,553650
3,2.25,191228,2,1988,545000
6,2.25,15600,1.5,1940,543200
4,1.75,9600,1,1967,538000
4,2.5,4630,2,2005,537500
4,2.5,65836,2,2004,535000
3,1,4080,1,1967,533000
3,1.75,6760,1,1973,530000
4,2.75,2850,1.5,1930,530000
3,2.25,73151,1,1974,524000
2,1,4960,1,1926,515000
3,1.75,1197,3,2012,500000
2,1.5,957,2,2005,499000
3,2.5,6250,2,2011,494000
5,2.25,20828,1.5,1975,489990
3,2,43560,1,1954,450000
2,1.5,1060,3,2008,441750
2,1,1179,2,2010,438000
3,1.75,9282,1,1976,437000
3,1.75,7700,1,1979,424500
3,2.5,3200,3,2008,413450
2,1,8155,1,1948,405000
3,2.75,8354,2,2012,403000
3,2.5,8000,1,1977,402000
3,1.75,9920,1,1944,385000
6,2.25,5793,2,2012,375000
2,1.5,1808,2,1993,358000
4,1.75,13515,1,1940,350000
3,1.75,9620,1,1988,349000
4,2.5,7350,2,1989,347500
3,1.5,87625,1.5,1980,335000
2,2,435600,1.5,1972,330000
4,2.5,6270,2,2004,325900
2,1.25,1277,2,2007,321950
3,1.75,1716,1,1966,307000
3,2,10800,1,1967,297950
2,1.75,89298,1,1973,295000
3,2.5,7229,2,1993,295000
4,2.5,6509,2,1994,270000
3,2.5,8547,1,1989,266000
4,2.5,6236,2,2002,262000
4,1.5,8800,1,1962,260000
4,1.75,8320,1,1977,258000
3,1.75,7399,1,1975,246000
3,1.5,7964,1,1955,245000
2,1,3008,1,1923,235000
3,1.75,6000,1,1939,230000
3,1,16000,1,1960,230000
3,2.5,3000,2,2002,229000
4,1.75,6120,1,1965,228000
4,1,9200,1,1959,211000
3,1,8995,1,1954,207000
2,1,5040,1,1955,205000
2,1.5,5000,2,1922,134000
2,1,22334,1,1951,82500
3,2.25,11665,1.5,2001,2400000
5,6.5,130017,2,2010,2240000
5,4.5,5432,2,1987,1700000
4,2.75,9450,1,1962,1370000
4,4.25,52889,2,1996,1160000
4,2.25,37769,2,1989,985000
4,3,11025,2,1976,920000
3,2.5,107290,2,1987,851000
4,3.5,13592,1,2013,839900
4,2.75,10308,2,1999,833000
4,3.25,159430,2,2007,800000
4,2.5,20345,2,1979,782000
4,3.5,3047,2,2006,769900
4,2.75,10819,2,1996,765000
3,2.25,78843,1.5,2006,759000
4,2.75,3773,2,1919,742500
2,2.5,188200,1,2007,705000
3,3,45302,1,1976,610000
4,2.5,7753,2,1989,604000
4,2.25,32496,1,1993,590000
4,3.25,29252,2,1982,585000
4,2.5,4000,2,2001,583000
4,2.5,6268,2,1998,580000
3,2.25,10140,1,1980,566000
4,2.25,7447,2,1984,565000
4,2.5,4500,2,2012,557000
4,2.5,14289,2,1978,542500
4,1.75,4000,1.5,1926,536500
3,1.75,5413,1.5,1925,536000
5,3,57499,1,1976,532000
3,2.5,6970,2,1991,525000
3,2,7293,1,1963,511555
3,2.5,5824,2,1999,505000
3,1.75,11340,1,1987,491300
2,1,3300,1.5,1910,490000
3,2,4800,1,1940,481450
4,2.5,9653,1,1968,465000
2,1,4400,1,1905,463000
4,1.75,5500,1.5,1926,460000
4,2,6000,1,1959,445000
2,2,6634,1,1940,445000
4,2.25,10500,1,1960,431000
3,1,30736,1.5,1911,428750
4,2.25,48787,2,1992,415000
4,2.5,11951,2,1988,402500
3,2.25,1606,2,2003,387000
3,3.25,1253,3,2005,382000
3,2,1384,3,2008,376000
2,1,81892,1,1956,360000
3,2.25,11050,1,1972,352000
3,1.75,120661,1,1979,336900
4,2.5,3784,2,2003,330000
3,2.25,1694,3,2007,325000
4,1.5,70800,1,1976,325000
3,2.25,904,2,2007,324000
4,2.75,7213,1,1977,323000
4,2.25,7490,2,1980,320000
5,1.75,8100,1,1956,315000
4,2.25,7452,1,1984,312000
4,2.25,8078,1,1977,311100
3,1.5,10464,1,1973,303500
4,2.5,13300,1,1968,290000
3,1.75,8700,1,1912,280950
4,2,14439,1,1977,280000
3,1.5,48257,1,1922,275000
3,1.5,6337,1,1953,270000
3,2,9583,1,1969,270000
3,2,8075,1,1969,260000
3,2.5,14850,1,1963,260000
2,1,28717,1,1984,255000
2,1,7980,1,1928,255000
3,2.5,4597,2,2003,254000
3,1,6127,1,1947,252500
3,1.75,7250,1,1962,251000
4,3,5883,2,2006,248000
3,1,9948,1,1977,234950
3,2.5,9202,2,1992,225000
4,1,8355,1.5,1983,224500
2,1.5,1525,2,2004,212000
3,1,8320,1,1959,201500
2,1,18000,1,1950,195000
4,2,6000,1,1921,875000
5,2.75,7015,1,1979,549900
3,2.5,1250,3,2006,394950
3,2.5,6969,2,2003,320000
4,1,9533,1,1962,265000
4,2.5,5298,2.5,1902,842500
3,2.5,1350,2,2007,368000
5,2.75,20150,1,1975,1580000
5,1.75,20021,1,1963,1350000
4,3.5,3997,2,2004,1320000
4,3.25,9687,2,1918,1300000
4,3.75,9170,2,2012,1260000
4,4.5,101930,1,2001,1230000
4,2.25,16028,1,1976,1230000
3,1.75,8078,1.5,1928,1200000
3,2.5,11610,2,1982,1080000
4,3.75,11000,2,2008,1050000
4,3.25,5187,2,2014,1030000
3,2.5,34527,1,1954,1020000
5,3,258746,1.5,2003,950000
4,2.25,12329,1.5,1968,947500
3,2.75,27144,1.5,1917,947500
4,2.75,12090,2,1953,927000
3,2,6120,1,1962,910000
4,3.25,38412,2,1978,900000
4,2.5,5000,2,1995,885000
3,3.25,12508,1.5,1928,876650
4,2.5,3150,1.5,1910,870300
4,1.75,11914,1,1961,850000
4,2.75,2750,1.5,1936,840000
5,4.5,6324,2,2006,809000
4,3.25,5759,2,2003,788000
3,1.75,5000,1,1954,770000
4,2.5,6142,2,2004,751000
4,2.5,4930,2,2000,750000
3,2.5,8950,2,1992,746000
4,2.5,5000,1.5,1928,734200
4,2.5,13463,2,1989,690000
4,3,3340,1,1964,675000
4,2.5,10000,1,1964,660000
4,2.5,6887,2,1999,647000
3,2.5,1433,3,2010,635000
4,2,4166,2,1911,630000
3,1.5,6630,1,1954,620000
2,1.75,4480,1.5,1919,615000
4,3,5000,1.5,1930,610000
4,1.75,4650,1,1951,582000
3,2,216777,1,1986,560000
4,2.25,228254,1,1990,540000
4,2.25,8623,1,1980,522000
4,1.75,4800,1,1922,505000
4,2.5,6369,1,1978,505000
2,2.25,1334,3,2007,500000
3,1,6380,1,1941,499950
2,2.5,1391,2,2004,490000
3,1.5,11358,1,1956,465000
3,2.5,2287,2,2014,453246
3,1.5,17208,1,1959,450000
2,2.5,1369,3,2009,420000
3,2.25,16921,2,1987,410000
4,2.5,6223,2,2010,383000
5,3,10090,1,2004,372500
2,2.5,895,2,2009,369000
3,1,9898,1,1968,368000
4,2,5500,1,1943,360000
4,2.5,7066,2,1997,357000
2,1,4500,1.5,1906,350000
3,1.5,7119,1.5,1952,341000
3,1,8100,1,1955,339000
3,2.5,4927,2,2004,335000
5,3,4548,1,2013,330000
3,1.75,8040,1,1951,315275
5,2.25,7813,2,1986,302000
2,1.5,1333,2,2005,301500
2,1.75,8100,1,1975,300000
3,1,8209,1,1942,270000
2,1,2828,2,2008,265000
2,1,2500,1,1910,255000
1,1,2451,1,1941,235000
3,1,8012,1,1966,225000
3,1.5,7620,1,1941,211000
3,2.5,2643,2,2004,210000
3,1,9750,1,1969,201000
2,1,10540,1,1953,192000
3,1.5,8470,1,1961,185000
3,1,8580,1,1959,156000
3,1,53143,1,1945,110000
4,2.5,26211,2,1923,2560000
5,4,9000,2,2013,2450000
4,4.5,11023,2,2008,2450000
5,2.25,16672,2,1969,1900000
5,3.25,23723,2,1989,1680000
5,3.25,17458,1,1982,1550000
5,4.25,7924,2,2001,1400000
4,1.5,4000,2,1905,1110000
4,3.25,8400,2,2003,1050000
4,2.5,7494,2,2000,975000
4,2.5,6773,2.5,2006,870000
4,2.5,11119,1,1986,860000
5,2.75,7119,2,2013,819900
6,3,2370,2.5,1906,799200
3,1.75,10495,1,1967,780000
3,3.25,59677,2,2003,777000
3,2.25,6120,1.5,1927,771000
3,3.25,5283,2,2007,757000
3,1.5,3880,1,1956,717000
3,2.5,8398,2,1975,700000
4,2.5,5548,2,2006,675000
5,3,9600,1,1968,675000
3,2,5820,1.5,1944,665000
4,3.5,5196,2,2012,660000
4,2.5,7140,2,1993,651000
4,2.5,4861,2,2013,650000
3,2.5,13750,2,1975,645000
4,1.75,13320,1,1969,635000
4,2,6000,1,1958,628000
3,3.5,1846,2,2009,625000
3,1,4050,1.5,1909,620000
3,1.75,2400,1,1922,591000
4,2.25,38180,2,1977,591000
4,1.75,8164,1,1963,581000
5,2,7125,1,1964,580000
3,1.75,11750,1,1951,575000
3,2,5401,1,1937,570000
3,1,5000,2,1910,560000
4,2,7500,1,1956,550000
7,4,8100,2,1970,550000
2,2,4950,1,2006,530000
3,1.75,8190,1,1958,530000
5,3,4591,2,1994,525000
3,3.5,5086,2,2007,525000
3,2.5,1161,2,2008,525000
3,1.5,7735,1,1957,523000
4,2.5,5602,2,2009,505000
4,2.5,5616,2,2012,502000
5,4.75,35000,1,1976,480000
4,2.5,8700,1,2004,475000
3,1.5,5112,1,1950,465000
5,2.5,8970,1,1959,464000
3,2.25,10450,1,1977,460000
4,2.5,7685,2,2001,455000
3,2.75,892,2,2010,450000
3,2.25,42180,1,1978,450000
3,2,6610,1,1954,449500
4,2.25,6355,2,2002,435000
3,1.75,5000,1,1911,415000
4,1,6000,1,1925,413000
4,1.75,13529,1,1956,405000
3,2,6600,1,1943,385000
3,1,9486,1,1953,375000
5,2.5,5710,2,2006,373000
3,1.75,8254,1,1951,370000
3,2.5,1709,3,2004,354901
3,2.5,14298,2,1977,350000
3,1.75,7200,1,1968,345000
3,2.5,5008,1,2007,330000
3,2,14200,1,1989,322500
3,1,12823,1,1968,319000
3,1,7315,1,1981,289000
3,2.5,8251,2,1990,287600
3,2.25,9600,1,1987,287000
3,1,8640,1,1973,285000
4,1.5,22870,1,1954,273000
4,2.25,8165,1,1972,267345
5,1.75,7902,1,1962,245000
3,1,33888,1.5,1942,239950
2,0.75,5360,1,1931,230000
3,1.5,7500,1,1967,225000
4,1.5,12559,1.5,1939,225000
3,1,6535,1,1947,225000
3,1,7210,1,1963,225000
2,1,6232,1,1943,155000
2,1,2640,1,1973,90000
4,2.75,19542,1,1968,1880000
3,2.5,7200,2,1981,1400000
4,3.5,9444,1.5,2007,1220000
4,2.25,60373,2,1988,1120000
4,2,11137,1,1955,1060000
5,4.5,8019,2,2008,966000
5,2.25,9887,2,1972,955000
4,2.5,7644,2,1995,950000
3,2.5,20553,1,1954,930000
4,2.5,7350,2.5,1958,925000
3,2.5,13096,2,1986,802000
3,1,4400,1.5,1906,800000
3,2.75,3600,2,2007,773000
3,2.5,30007,1.5,1992,766950
5,5,31675,1,1984,740000
4,2.5,10157,2,2000,740000
4,2.5,4004,2,2004,723000
4,2.25,5649,1,1941,715000
4,3.25,7081,2,2004,707000
3,1.5,6750,2,1926,702500
3,1.75,5120,1.5,1903,682000
4,2.5,33305,2,1993,633100
4,2.75,11180,1,1966,625000
5,2.5,3832,2,1929,620000
5,1.75,6000,1.5,1923,607500
2,1.5,4800,1,1948,582500
4,2.5,14667,2,1989,565000
3,1.5,8000,1,1957,562000
3,1.75,5000,1,1921,546000
3,2.5,7640,1,1962,543000
2,2,217800,1.5,1992,543000
4,1.75,8250,1,1955,542000
3,1.75,3825,1.5,1904,538000
4,2.75,15002,1,1974,530000
3,1.75,6120,1.5,1924,525000
3,2.5,4883,2,2005,511000
3,1.75,54014,1,1986,510000
3,2,42689,1.5,1959,499000
4,2.75,7375,1,1973,498000
3,2.75,9600,1.5,1965,489200
4,2.5,39449,1,1978,486000
4,2.5,14023,2,1991,470000
3,1,7500,1,1940,458000
3,2.5,17172,2,1989,450000
3,2.75,5200,2,2008,437000
4,2.5,24123,2,1999,420000
2,1,3522,1,1947,405100
2,1,2130,1,1918,400000
2,1,4000,1,1955,394475
4,1.75,4980,1,1947,385000
3,2.5,1618,2,2014,372977
3,1,5500,1,1951,372220
4,1.75,8625,1,1957,364000
3,3.5,12384,2,1980,356000
5,3,10117,1,2005,349950
3,2.25,15003,2,1984,345000
3,2.25,3716,2,1997,340000
3,1,5402,1.5,1906,339950
5,2,7314,1,1956,337500
3,2.5,6049,2,1990,325000
3,2.5,5011,2,2012,317000
4,2.5,7226,2,1995,316000
3,1,9876,1,1953,310000
3,1,7830,1,1952,310000
3,1.5,1086,3,2007,306000
3,1.75,10200,2,1966,305495
4,1.5,131551,1,1966,305000
3,1,8280,1,1946,300000
2,1.75,34395,1,1950,299000
2,1,6000,1,1949,267800
3,2.5,7214,1,1986,266000
3,2,5706,1,1998,265000
3,2,8250,1,1952,257200
4,2.5,4541,2,2006,253000
4,2,9010,1,1975,234000
3,1.75,7473,1,1973,223000
2,1,7200,1,1967,215000
2,1,8925,1,1911,175000
3,1,11900,1,1963,160000
2,1,5200,1,1952,155000
3,1,17334,1,1978,139000
4,1.75,19865,2,1962,2100000
4,2.5,7535,2,2006,1260000
4,3.5,10308,2,2006,1150000
4,3.25,12080,1,1988,1090000
5,4.25,16258,2,1990,1000000
4,2.5,10856,3,2013,914500
4,1.75,11562,1,1947,840000
3,1,12305,1,1955,839000
4,3.5,5680,2,2013,828950
5,2.75,10335,2,2013,819995
4,2.5,5404,2,2004,803100
3,1.75,6117,1,1940,790000
5,3.75,14275,2,1999,765000
4,2.5,20301,2,1985,749400
4,3,5352,2.5,1941,744000
3,2.5,151588,2,2007,720000
4,3,9130,2,2001,695000
3,2.5,17622,2,1986,695000
4,3.25,7266,2,2003,689900
4,2,7798,1,1947,640000
4,2.5,9185,2,1989,620000
4,2,4815,1.5,1909,613000
4,2.5,12032,1,1983,592500
5,1.75,3750,2,1921,585000
4,2.75,7636,1,1986,582800
3,2.5,4638,2,1996,580050
2,1,6000,1,1946,575000
4,2.5,17810,1,1979,575000
3,2.25,40887,1,1980,550000
3,2.5,7434,2,1991,525000
3,2.5,2875,2,1997,512500
4,2.5,7200,2,1995,497000
4,2,4000,1.5,1941,495000
7,3.5,29699,1,1961,475000
3,1,6582,1,1946,467000
3,1.5,10350,1,1959,465750
3,1.75,6886,1,1924,465000
3,2.5,7344,1,1980,455000
2,1,4520,1,1912,451555
3,2,7066,1,1973,430000
4,1.75,7303,1,1976,423000
3,2,9972,1,1977,420000
3,1.5,10224,1,1956,417000
3,1.5,8475,1,1963,412500
3,1,10304,1,1953,400000
3,1.5,7000,1,1955,395300
3,2.5,10800,2,1996,390000
3,2.5,3600,2,2010,386380
4,1.75,8000,1,1960,375000
4,2.5,5880,2,1998,370000
3,1.75,250470,1,1940,350000
3,1,7066,1,1957,349950
3,2.5,7496,2,1994,349950
3,2.5,1130,3,2007,344000
4,1.75,10290,1,1960,343000
3,2.25,9630,2,1986,342400
3,1.75,8136,1,1948,340000
3,2.25,30476,2,1991,335000
4,2.5,6807,2,1991,316500
2,1,6345,1,1919,312500
3,2.25,974,2,2009,312000
4,1.75,7865,1,1963,302000
3,1,13000,1,1955,300000
3,1.5,2500,1,1986,295000
3,1,20562,1.5,1959,280000
4,2.5,1562,2,2004,275000
3,1,9514,1,1969,270000
3,2.25,7748,2,1991,263000
3,2.5,5025,2,2003,256883
4,2.5,7800,2,1989,255000
3,2,7352,1,1979,252350
3,1,10350,1,1957,250000
3,1.75,6930,1,1990,245000
3,2,6200,1,1948,240000
3,2,7384,1,1979,225000
3,1,5000,1,1959,217450
3,1,10384,1,1969,215000
4,2,9987,1,1967,204700
3,1,3090,1.5,1903,197500
3,1,8520,1,1967,190000
3,1,8100,1,1932,185000
3,1,5200,1,1970,174950
5,4.25,10862,2,1991,2000000
